,time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour,date
657,1654617600,39.95,40.22,39.81,40.0,,,,,,39.577515369151854,39.54445396374207,39.5281472489935,40.54885522631546,74379,51450.65,62.36748239294274,49.7985357613672,,,54.634180041750966,48.27027991478881,,,0.0885223628709555,-0.0042793363131679,-0.0928016991841235,2022-06-08 00:00:00,2022,7,13,19,2022-6-8
667,1654704000,40.08,41.27,40.07,40.65,,,,,,39.92410263793393,39.72834438490364,39.630891894021886,40.50532507140268,252737,58411.15,75.24081996355662,60.78422516712117,,,62.18240612734383,54.60899876777369,,,0.0764242291616658,0.1743949943882796,0.0979707652266138,2022-06-09 00:00:00,2022,7,14,6,2022-6-9
676,1654790400,40.12,40.15,39.82,40.03,,,,,,40.14109553788048,39.90520897364524,39.7445983582566,40.48980641115716,21647,55457.65,39.28751233284858,58.09702436519256,,,49.00746710217449,55.67498877812472,,,-0.0379142629551403,0.1297818577908458,0.1676961207459861,2022-06-10 00:00:00,2022,7,15,4,2022-6-10
685,1654876800,39.03,39.06,38.9,39.04,,,,,,39.63221365284659,39.73153249528702,39.67913073906883,40.392177312866366,33325,45596.0,13.383457613418372,30.333309133120117,,,32.15189121281942,42.86181559527825,,,-0.1389235389024431,-0.2390819707357394,-0.1001584318332963,2022-06-11 00:00:00,2022,7,16,3,2022-6-11
689,1655118000,38.35,38.37,38.16,38.37,,,,,,39.38202063673377,39.60748880932926,39.61913963277719,40.333743904751145,545,33596.7,10.006277564047965,21.76167401018312,,,24.166566348289223,36.65849988044533,,,-0.1134446812522614,-0.3172797811841619,-0.2038350999319004,2022-06-13 19:00:00,2022,7,18,21,2022-6-13
694,1655136000,37.51,37.64,37.41,37.43,,,,,,38.65467594376237,39.23479599480097,39.42296808604594,40.19850777191273,25488,35204.2,18.465096985817084,15.061986750308112,,,22.64781126894768,28.192749519659248,,,-0.1914950432957983,-0.6290384796696884,-0.43754343637389,2022-06-14 00:00:00,2022,7,19,2,2022-6-14
705,1655222400,38.21,38.22,37.79,37.87,,,,,,38.10323536498186,38.70808837088838,39.08862810639818,39.94004651926948,37674,38719.15,47.58030350282922,34.287743773290366,,,44.15154026669926,32.541043634797134,,,0.1495241213961789,-0.3013048404917526,-0.4508289618879316,2022-06-15 00:00:00,2022,7,20,4,2022-6-15
714,1655308800,37.83,37.9,37.59,37.59,,,,,,37.78898486674174,38.36257781234529,38.83724366206238,39.73530926799563,22269,35550.95,47.1470009711289,49.09799632310966,,,44.651663246444734,44.37147466819806,,,0.0606162391200256,-0.2469822841621862,-0.3075985232822119,2022-06-16 00:00:00,2022,7,21,3,2022-6-16
724,1655395200,37.71,38.56,37.54,38.43,,,,,,38.03826820681648,38.30398307228237,38.71901567866235,39.58778118351608,152942,48822.25,58.33427346359648,54.083923178245946,,,54.50399619667737,50.10608749356848,,,0.0664755379640859,0.0245269937053933,-0.0419485442586926,2022-06-17 00:00:00,2022,7,22,0,2022-6-17
734,1655481600,37.38,37.51,37.32,37.33,,,,,,37.63453981637622,38.00691298155755,38.48056557045018,39.37994929476207,36779,57486.0,43.598020391274304,44.80905798032624,,,44.96818751782931,46.27547346944514,,,-0.0391479024337265,-0.1816281246177737,-0.1424802221840471,2022-06-18 00:00:00,2022,7,22,23,2022-6-18
739,1655809200,38.4,38.52,38.2,38.2,,,,,,37.7558043532198,37.99309478394322,38.427868374589615,39.30898541612914,2016,58268.55,66.02519821303486,48.878147147024485,,,56.03887522758719,47.63109453805832,,,0.0819300292715099,-0.0112174573933216,-0.0931474866648316,2022-06-21 19:00:00,2022,7,23,4,2022-6-21
744,1655827200,38.55,38.55,38.25,38.5,,,,,,38.03513657551642,38.07645820941657,38.42983484316884,39.266910583425386,21984,47008.75,63.41345119182533,56.1016849394379,,,57.63934107311502,51.95791692149204,,,0.1221894033908618,0.1726866578264392,0.0504972544355774,2022-06-22 00:00:00,2022,7,25,22,2022-6-22
754,1655913600,38.61,39.09,38.58,39.08,,,,,,38.5159550513884,38.30720834713001,38.49147941391617,39.219308469741,21257,40097.9,61.09498422752845,63.057322442997936,,,59.08013492386231,58.49850021617625,,,0.0399599208370873,0.2726296955798659,0.2326697747427785,2022-06-23 00:00:00,2022,7,26,23,2022-6-23
